"Sample" "Detector" "Cq"
"1018S2c" "ACTB_RQ" 0.00249207294972875
"1018S2c" "B2M_RQ" 0.000379205843158582
"1018S2c" "RPL29_RQ" 0.016872150538736
"1018V10a" "ACTB_RQ" 0.0557613543973799
"1018V10a" "B2M_RQ" 0.0913182482776127
"1018V10a" "RPL29_RQ" 0.140031791078538
"1018V10c" "ACTB_RQ" 0.609068957243174
"1018V10c" "B2M_RQ" 0.568407584709467
"1018V10c" "RPL29_RQ" 0.540886843016589
"1018V11a" "ACTB_RQ" 0.393550894412404
"1018V11a" "B2M_RQ" 0.360954400578625
"1018V11a" "RPL29_RQ" 0.428058132237809
"1018V11c" "ACTB_RQ" 0.153251025403959
"1018V11c" "B2M_RQ" 0.194615351673506
"1018V11c" "RPL29_RQ" 0.22547651581207
"1019S2a" "ACTB_RQ" NA
"1019S2a" "B2M_RQ" NA
"1019S2a" "RPL29_RQ" NA
"1019S2c" "ACTB_RQ" NA
"1019S2c" "B2M_RQ" NA
"1019S2c" "RPL29_RQ" NA
"1019V10a" "ACTB_RQ" 0.152205586377062
"1019V10a" "B2M_RQ" 0.369984644234801
"1019V10a" "RPL29_RQ" 0.210136516897077
"1019V10c" "ACTB_RQ" 0.104256401791769
"1019V10c" "B2M_RQ" 0.229523103201872
"1019V10c" "RPL29_RQ" 0.243347675844539
"1019V12a" "ACTB_RQ" 0.0715431199486417
"1019V12a" "B2M_RQ" 0.206808832304994
"1019V12a" "RPL29_RQ" 0.133302772761338
"1019V12c" "ACTB_RQ" 0.0518311313350063
"1019V12c" "B2M_RQ" 0.075169821170336
"1019V12c" "RPL29_RQ" 0.247446634443877
"1021S2a" "ACTB_RQ" NA
"1021S2a" "B2M_RQ" NA
"1021S2a" "RPL29_RQ" NA
"1021S2c" "ACTB_RQ" NA
"1021S2c" "B2M_RQ" NA
"1021S2c" "RPL29_RQ" NA
"1021V10a" "ACTB_RQ" 0.363057244428316
"1021V10a" "B2M_RQ" 0.778736119571232
"1021V10a" "RPL29_RQ" 0.3308291921957
"1021V10c" "ACTB_RQ" 0.192731514501733
"1021V10c" "B2M_RQ" 0.360153697374867
"1021V10c" "RPL29_RQ" 0.335852939088075
"1021V11a" "ACTB_RQ" 0.236614490553684
"1021V11a" "B2M_RQ" 0.38746660791899
"1021V11a" "RPL29_RQ" 0.30197261014864
"1021V11c" "ACTB_RQ" 0.162913710247433
"1021V11c" "B2M_RQ" 0.213113112677478
"1021V11c" "RPL29_RQ" 0.275404096474009
"1022S2a" "ACTB_RQ" 8.08167002738155e-05
"1022S2a" "B2M_RQ" NA
"1022S2a" "RPL29_RQ" 0.00195940828016045
"1022S2c" "ACTB_RQ" 1.9299823638427e-05
"1022S2c" "B2M_RQ" 1.639491667967e-06
"1022S2c" "RPL29_RQ" 0.00188684458294264
"1022V10a" "ACTB_RQ" 4.1916036558257e-05
"1022V10a" "B2M_RQ" NA
"1022V10a" "RPL29_RQ" 0.0016596776783864
"1022V10c" "ACTB_RQ" 1.89401081632912e-05
"1022V10c" "B2M_RQ" 5.69055476964141e-06
"1022V10c" "RPL29_RQ" 0.00176489562421398
"1022V11a" "ACTB_RQ" 0.000116158355026926
"1022V11a" "B2M_RQ" 1.16780447694231e-05
"1022V11a" "RPL29_RQ" 0.0102231337364342
"1022V11c" "ACTB_RQ" 2.47815603738273e-05
"1022V11c" "B2M_RQ" 1.32442007398459e-05
"1022V11c" "RPL29_RQ" 0.00236601544116441
"1023S2a" "ACTB_RQ" 0.0143180955470624
"1023S2a" "B2M_RQ" 0.0280684611181908
"1023S2a" "RPL29_RQ" 0.0731981391653771
"1023S2c" "ACTB_RQ" 0.0135450979963966
"1023S2c" "B2M_RQ" 0.0442469498515918
"1023S2c" "RPL29_RQ" 0.0485732111079546
"1023V10a" "ACTB_RQ" 0.162764680801168
"1023V10a" "B2M_RQ" 0.478295188193826
"1023V10a" "RPL29_RQ" 0.214009379617036
"1023V10c" "ACTB_RQ" 0.134256429819332
"1023V10c" "B2M_RQ" 0.252030553110246
"1023V10c" "RPL29_RQ" 0.140809024867203
"1023V11a" "ACTB_RQ" 0.0931631025676788
"1023V11a" "B2M_RQ" 0.428839698159626
"1023V11a" "RPL29_RQ" 0.164772885564994
"1023V11c" "ACTB_RQ" 0.0405215204206174
"1023V11c" "B2M_RQ" 0.189469731354951
"1023V11c" "RPL29_RQ" 0.118920836117831
"1024S2a" "ACTB_RQ" 0.00814670459852337
"1024S2a" "B2M_RQ" 0.033272908423403
"1024S2a" "RPL29_RQ" 0.0469588549775851
"1024S2c" "ACTB_RQ" 0.0247302927084476
"1024S2c" "B2M_RQ" 0.0571405903248383
"1024S2c" "RPL29_RQ" 0.140292346493212
"1024V10a" "ACTB_RQ" 0.17373823973161
"1024V10a" "B2M_RQ" 0.705059761248723
"1024V10a" "RPL29_RQ" 0.284179433894215
"1024V10c" "ACTB_RQ" 0.175300867815783
"1024V10c" "B2M_RQ" 0.368585392167217
"1024V10c" "RPL29_RQ" 0.156514364232747
